+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
|      Mfg       |         Ball         |     PracticeDtTm    | Carry | Total_Distance | Ball_Speed | Back_Spin | Side_Spin |  HLA  | VLA  | Decent | Distance_To_Pin | Peak_Height | Offline | raw_Spin_Axis | raw_Carry_Game | raw_Carry_LM | Club | Club_Speed |  Path | AoA | Face_To_Target | Face_To_Path | Lie | Loft | Dynamic_Loft |  CR |  HI |  VI | Smash_Factor |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 |  84.4 |      90.8      |    75.2    |   9483.9  |  -1532.2  |  13.1 | 18.1 |  32.7  |    48.38 yds    |     10.8    |   14.9  |      -9.3     |      84.3      |     0.0      |  I7  |    66.1    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 130.9 |     136.3      |    99.4    |   6880.4  |   -266.8  |  -4.2 | 26.9 |  51.5  |    12.41 yds    |     33.1    |  -11.9  |      -2.2     |     130.9      |     0.0      |  I7  |    75.6    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 109.7 |     122.9      |    85.3    |   5101.3  |  -1267.7  |  -7.8 | 23.4 |  40.2  |    31.79 yds    |     19.1    |  -24.0  |     -14.4     |     109.5      |     0.0      |  I7  |    71.8    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 122.2 |     134.4      |    91.2    |   5005.4  |   -759.4  |  -6.9 | 25.2 |  45.0  |    24.47 yds    |     24.8    |  -21.6  |      -8.7     |     122.1      |     0.0      |  I7  |    73.3    |  3.1  | 0.0 |      -8.9      |     12.0     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 |  91.6 |      99.5      |    76.2    |   6905.5  |   -383.5  |  -8.7 | 31.6 |  48.8  |    40.87 yds    |     22.3    |  -15.6  |      -3.2     |      91.5      |     0.0      |  I7  |    75.9    |  0.0  | 0.0 |      0.0       |     0.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 137.1 |     147.3      |    98.4    |   4645.6  |   -64.8   |  -4.7 | 22.8 |  44.6  |    17.33 yds    |     26.4    |  -11.9  |      -0.8     |     137.0      |     0.0      |  I7  |    76.1    |  -3.8 | 0.0 |      -5.1      |     1.3      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 |  95.7 |     111.3      |    79.9    |   4201.6  |   -13.2   |  -3.9 | 18.3 |  30.8  |    25.34 yds    |     11.6    |   -6.6  |      -0.2     |      95.4      |     0.0      |  I7  |    75.5    |  -3.8 | 0.0 |      -4.2      |     0.4      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 138.9 |     147.1      |   102.9    |   6629.9  |   -18.5   |  -2.3 | 23.4 |  48.8  |    13.29 yds    |     30.7    |   -5.7  |      -0.2     |     138.8      |     0.0      |  I7  |    77.8    |  -2.1 | 0.0 |      -2.5      |     0.3      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 126.7 |     135.0      |    95.0    |   5922.5  |   174.7   |  -0.3 | 26.1 |  48.4  |     3.02 ft     |     28.7    |   0.8   |      1.7      |     126.6      |     0.0      |  I7  |    74.0    |  -2.3 | 0.0 |      -0.1      |     -2.2     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length | Titlelist ProV1x RCT | 2023-01-28 16:29:35 | 143.2 |     150.4      |   106.3    |   7054.1  |   657.0   |  -3.8 | 23.0 |  49.9  |    15.52 yds    |     32.5    |   -3.0  |      5.3      |     143.2      |     0.0      |  I7  |    78.4    |  -9.1 | 0.0 |      -3.3      |     -5.8     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
